product_id,sku,name,packaging_type,unit_container_type
714,86W-DY6-ZBJ,Ferric Chloride 40% - 4 x 55 Gallon Drums,Pallets_48x40,Drums
716,XG-76U9-KGRY,Ferric Chloride 40% - 55 Gallon Drum,Pallets_48x40,Drums
719,6A3-Y5A-JC4,Glowguard Title Restorer - 55 Gallon Drum,Pallets_48x40,Drums
721,0X-3G60-XEAJ,Glycerin - USP Food Grade - 55 Gallon Drum,Pallets_48x40,Drums
725,5UV-7N2-7MQ,Glycerin Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
727,C4R-UJ7-9E8,Glycerin Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
728,GBP-UGN-UZQ,Glycerin USP Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
729,K54-F9Y-FS5,Glycerin USP Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
733,3YQ-H7L-PZX,Glycol Ether EE ACS - 55 Gallon Drum,Pallets_48x40,Drums
734,U8W-51A-Z7S,Glycolic Acid 70% - 551 LB Drum,Pallets_48x40,Drums
735,CEOE-MJUG-WWWE,Golden West AW68 Oil - 55 Gallon Drum,Pallets_48x40,Drums
738,VC7-S6Z-JPC,Hexane ACS Reagent Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
741,GD-9ROQ-KBV9,Hexane Reagent Grade - 55 Gallon Drum,Pallets_48x40,Drums
743,DZ-QUWH-ZXKW,Hexane Solvent - Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
744,KJG-WRJ-DHJ,Hexane Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
746,STT-WMM-TLC,Hydrochloric Acid 15% Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
748,3YF-R8D-Q2D,Hydrochloric Acid 31% - 4 x 55 Gallon Drums,Pallets_48x40,Drums
749,YJ6-35C-5A7,Hydrochloric Acid 31% - 4 x 55 Gallon Drums,Pallets_48x40,Drums
751,HZ-12KC-B8ZG,Hydrochloric Acid 31% 20 BE - 55 Gallon Drum,Pallets_48x40,Drums
755,GB4-58S-QE5,Hydrochloric Acid 37% (HCL 37%) - Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
758,RWN-R7P-SGC,Hydrochloric Acid 37% ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
760,F3L-73G-66P,Hydrochloric Acid 37% ACS Reagent Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
761,236-RTA-TAX,Hydrochloric Acid 5% Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
762,X6D-2H2-5GD,Hydrochloric Acid 5% Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
763,DC9-GRV-F2C,HYDROFLUORIC ACID 49% VLSI GRADE - 55 Gallon Drum,Pallets_48x40,Drums
764,JFQ-K94-R2U,Hydrofluoric Acid 49% VLSI Grade - 55 Gallon Drum,Pallets_48x40,Drums
765,VXR-2W3-ESL,Hydrofluoric Acid Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
767,5J4-XYZ-2CV,Hydrofluorosilicic Acid 23% (HFS) - 4 x 55 Gallon Drums,Pallets_48x40,Drums
769,Z8K-G6B-7Z9,Hydrofluorosilicic Acid 23% ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
771,X5V-T7F-347,Hydrofluorosilicic Acid 23% ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
799,B0V-DV4-KJJ,Hydrogen Peroxide 3% ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
801,EC4-NF7-09Q,Hydrogen Peroxide 3% ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
804,6ZT-5LR-XPQ,Hydrogen Peroxide 3% Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
806,PLF-NNM-P04,Hydrogen Peroxide 3% Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
807,LDT-S4S-D08,Hydrogen Peroxide 30% - 55 Gallon Drum,Pallets_48x40,Drums
817,V99-E12-FR0,Hydrogen Peroxide 5% ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
819,9IT-PV7-64M,Hydrogen Peroxide 5% ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
830,T6P-YKL-X8V,Isobutyl Alcohol 99% - 4 x 55 Gallon Drums,Pallets_48x40,Drums
832,0Z4-X0K-V1M,Isobutyl Alcohol 99% ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
833,6J6-42S-RZA,Isopropyl Acetate 99.98% - 4 x 55 Gallon Drums,Pallets_48x40,Drums
835,69-V3QY-M24L,Isopropyl Acetate 99.98% - 55 Gallon Drum,Pallets_48x40,Drums
837,NLF-71N-K64,Isopropyl Acetate 99.98% ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
840,WV-UA8G-2EPD,Isopropyl Alcohol 70% - 55 Gallon Drum,Pallets_48x40,Drums
842,RQN-987-AKU,Isopropyl Alcohol 70% USP Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
844,B0A-S8G-6H2,Isopropyl Alcohol 90% - 55 Gallon Poly Drum,Pallets_48x40,Drums
846,SML-WNT-ZGS,Isopropyl Alcohol 91% - 4 x 55 Gallon Drums,Pallets_48x40,Drums
848,QCS-YIE-GJC,Isopropyl Alcohol 91% - 55 Gallon Drum,Pallets_48x40,Drums
