description,hazardous,hazardId,packingGroup
"flammable liquids, noi, xylene, xylol, dimethylbenzene",TRUE,UN1307,2
"flammable liquids, noi, and corrosive, water-sensitive, toluene",TRUE,UN1298,2
"flammable liquids, or cumbustible liquids, noi, paint",TRUE,UN1263,3
glycerine,FALSE,,
"grease, general purpose, non-dot regulated, noi, in boxes, crates or drums",FALSE,,
"glycerin, non dot regulated (non-hazmat)",FALSE,,
"glycerine, other than crude, in bulk in drums",FALSE,,
"glycols, ethylene",FALSE,,
hydrogen peroxide 35%,TRUE,UN2014,2
"hydrogen peroxide, aqueous solutions",TRUE,UN2014,2
"hexane acs, reagent",TRUE,UN1208,2
hexanes,TRUE,UN1208,2
hexanes solvent technical,TRUE,UN1208,2
isopropyl alcohol 99.9% acs,TRUE,UN1219,2
"labels, paper, plain, printed or lithographed in pkge",FALSE,,
"limestone, hydrated, common lime, in pkgs",FALSE,,
"lubricating oil, noi, in boxes, drums or pkgs",FALSE,,
"lubricating oil, noi, in drums",FALSE,,
"lubricating oil, noi, in metal cans in crates",FALSE,,
"lubricating oil, non-dot regulated",FALSE,,
methyl n-propyl ketone,TRUE,UN1224,2
magnesium hydroxide non dot regulated item,FALSE,,
"metabisulfite, potassium metabisulfite, in drums",FALSE,,
"metal cans, metal articles, noi, released value exceeding $0.40 but less than $1/lb.",FALSE,,
"methyl butyl ketone, in containers in boxes or drums",TRUE,UN1193,2
monoethanolamine (mea),TRUE,UN2491,3
"non-dot regulated, ferrous sulfate heptahydrate acs",FALSE,,
"non-dot regulated, lubricating oil, p/n: mobil vacuum pump oil",FALSE,,
"non-dot regulated, lubricating oil, gear, p/n: mobil delvac synthetic gear oil 75w90",FALSE,,
"non-dot regulated, lubricating oil, gear, p/n: mobil delvac synthetic oil 75w90",FALSE,,
"non-dot regulated, polyethylene glycol peg 200",FALSE,,
"non-dot regulated, sodium carbonate anhydrous technical grade",FALSE,,
"non-dot regulated, sodium phosphate, tribasic, anhydrous, technical",FALSE,,
"new, empty, plastic jugs",FALSE,,
nitric acid,TRUE,UN2031,2
non- hazardous per dot exception 49cfr description: d- limonene,FALSE,,
non-hazardous per dot exception 49 cfr - 173.150(f) d-limonene,,,
non-hazardous per dot exception 49 cfr - 173.150(f) item: d-limonene,,,
"non-hazardous per dot exception 49cfr, description: d-limonene",FALSE,,
perchloroethylene,TRUE,UN1897,3
"petroleum distillates, n.o.s.",TRUE,UN1268,2
petroleum lubricants,FALSE,,
"petroleum lubricants, non-hazmat",FALSE,,
"polyethylene glycol (peg) 200, non-dot regulated",FALSE,,
propylene glycol - (arctic assist),,,
"propylene glycol techinical, non-dot regulated",FALSE,,
propylene glycol usp grade,,,
"propylene glycol usp grade, non-dot regulated",FALSE,,
propylene glycol - usp grade food grade,,,
"propylene glycol, non-dot regulated",FALSE,,
"paint related materials, chemicals, noi, in bags, boxes, drums or pkgs",TRUE,UN1263,2
"pallet, empty, shipping, wooden, noi, density 4 but less than 6 pcf",FALSE,,
"personal care products, noi, density 10 but less than 15 pcf",FALSE,,
"petroleum lubricates,  not required by the d.o.t. to bear hazmat label",FALSE,,
"petroleum oils, greases and related products",FALSE,,
petroluem lubricants,FALSE,,
"phosphate, noi, in bags, boxes, drums",FALSE,,
"plastic articles, density 2 but less than 4 pcf",FALSE,,
"plastic articles, other than expanded, density 6 but less than 8 pcf",FALSE,,
"plastic totes, new, plastic articles, density 12 but less than 15 pcf",FALSE,,
"plastic totes, new, density 12 but less than 15 pcf",FALSE,,
"poisonous materials, trichloroethylene",TRUE,UN1710,3
polyethylene glycol,FALSE,,
polyethylene glycol peg 200,FALSE,,
potassium bicarbonate,FALSE,,
"potassium bicarbonate, in inner containers in boxes or drums",FALSE,,
potassium cyanide,TRUE,UN1680,1
propeleye glycol- carboy,FALSE,,
"resin, petroleum, or resin compounds, not required by the us d.o.t to bear hazard class.",FALSE,,
sodium bisulfite,TRUE,UN2693,3
"salt, common (sodium chloride), containing food curing or preserving ingredients.",FALSE,,
"sodium bicarbonate, in inner containers in boxes/drums",FALSE,,
sodium chlorate oxidizer,TRUE,UN1495,2
"sodium chloride (common salt), in pkgs",FALSE,,
"sodium chloride tech, non-dot regulated",FALSE,,
"sodium chloride, non-dot regulated",FALSE,,
sodium hydroxide 50% solution,TRUE,UN1824,2
"sodium phosphate, noi, in bags.boxes or drums",FALSE,,
sodium chlorohydrate 50%,FALSE,,
"sponges, density 10 but less than 12 pcf",FALSE,,
"sulfate (ferrous sulfate) (copperas), containing less than 40% water, in bags, or inbulk in boxes/drums",FALSE,,
"sulfate (ferrous sulfate) (copperas), in bags, boxes or drums",FALSE,,
tetrachloroethylene (perchloroethylene technical),TRUE,UN1897,3
"talc technical grade, ground or pulverized, in inner containers in boxes",FALSE,,
"talc, ground or pulverized, in inner containers in boxes",FALSE,,
"toxic material, ferric chloride 40% copper etchant solution",TRUE,UN2582,3
"toxic materials, bisulfite, aqueous solutions, n.o.s., liquid, in drums",TRUE,UN2693,3
"toxic materials, bisulfite, liquid, in drums",TRUE,UN2693,3
"toxic materials, hydrochloric acid",TRUE,UN1789,2
"toxic materials, phosphoric acid 75%",TRUE,UN1805,3
"toxic materials, phosphoric acid 85%",TRUE,UN1805,3
"toxic solid, inorganic, n.o.s",TRUE,UN3290,2
"toxic and/or corrosive (non-combustable), ammonium hydroxide 29%",TRUE,UN2672,3
"toxic and/or corrosive (non-combustible), ammonium hydroxide 29%",TRUE,UN2672,3
"toxic and/or corrosive (non-combustible), sulfuric acid, battery fluid acid",TRUE,UN2796,2
"toxic and/or corrosive, (non-cumbustible), hypochlorite solutions",TRUE,UN1791,3
"toxic, ferric chloride solution",TRUE,UN2582,3
"toxic, nitric acid 67%",TRUE,UN2031,2
"trisodium phosphate, chlorinated",FALSE,,
"vegetable glycerin, non dot regulated (non-hazmat)",FALSE,,
"vermiculite, density 15 but less than 22.5 pcf",FALSE,,
"vermiculite, density 2 but less than 4 pcf",FALSE,,
"vermiculite, density 6 but less than 8 pcf",FALSE,,
"vermiculite, density 8 but less than 10 pcf",FALSE,,
"vermiculite, in bags, density 12 but less than 15 pcf",FALSE,,
"water, distilled deionized water , noi, in boxes",FALSE,,
"water, noi, other than carbonated, distilled, in inner containers other than intravenous dispensing type, in boxes, drums",FALSE,,
"water, distilled, noi, in boxes",FALSE,,
"d-limonene food grade & kosher, cleaning compound, noi",FALSE,,
ethanolamine-monoethanolamonie,TRUE,UN2491,3
"petroleum distillates, oils, greases and related products",TRUE,UN1268,2
"acetic acid solution, with more than 10 percent and less than 50 percent",,,
"acetic acid solution, with more than 50 percent and less than 80 percent",,,
